"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
  Not in the labour force - Females 25 years and over,"2,880","3,095","2,965","3,440","3,780","5,055","6,470","2,375","3,955","4,235","3,380","2,795","2,710","6,940","3,160","1,270",915,"2,460","5,080","4,470","5,205","1,860","78,270","272,640"
  Participation rate - Females 25 years and over,47.6,66.8,60.0,73.4,65.2,57.5,59.0,56.5,58.6,74.8,58.7,69.6,40.8,56.9,62.4,60.1,64.4,36.3,55.9,53.7,68.6,61.5,61.6,61.2
  Employment rate - Females 25 years and over,46.5,62.1,56.7,70.0,59.0,53.2,53.7,53.4,53.6,70.9,54.7,64.1,37.2,53.0,59.2,58.5,61.9,31.5,50.7,49.7,63.7,59.2,57.4,57.5
  Unemployment rate - Females 25 years and over,2.7,7.0,5.4,4.6,9.4,7.5,8.9,5.2,8.5,5.3,6.7,8.0,8.8,6.8,5.0,2.6,3.9,13.2,9.4,7.5,7.1,3.9,6.8,6.2
Total labour force 15 years and over  by class of worker,"6,475","17,685","11,130","19,630","17,310","16,685","23,075","7,155","12,895","28,130","11,750","15,605","4,825","22,620","12,220","4,505","3,905","4,355","16,310","12,615","28,525","7,135","303,935","1,073,010"
   Class of worker - Not applicable,120,765,195,210,705,505,650,140,395,260,385,380,140,545,235,70,45,380,550,385,535,155,"7,735","23,100"
    All classes of worker,"6,355","16,925","10,925","19,415","16,605","16,180","22,425","7,010","12,500","27,865","11,365","15,220","4,690","22,075","11,990","4,435","3,855","3,970","15,760","12,225","27,990","6,980","296,195","1,049,910"
      Paid workers,"5,475","15,130","9,425","17,625","15,055","14,870","20,820","6,210","11,360","24,620","10,530","13,785","4,065","20,735","10,775","3,750","3,485","3,625","14,875","11,370","25,510","5,965","268,595","956,210"
        Employees,"4,820","14,140","8,455","16,810","14,575","14,265","20,235","5,385","10,935","23,035","10,065","13,355","3,565","20,085","10,205","3,035","3,240","3,490","14,440","10,985","24,425","5,365","254,455","904,740"
        Self-employed (incorporated),650,990,970,815,480,605,585,830,425,"1,580",470,430,500,655,570,715,245,145,435,385,"1,090",595,"14,140","51,475"
          Without paid help,185,495,300,360,275,325,265,305,190,755,205,240,240,240,340,180,75,75,140,160,670,200,"6,205","20,665"
          With paid help,470,490,665,455,210,285,315,530,230,830,265,195,260,410,235,535,165,70,295,225,415,395,"7,935","30,805"
      Self-employed (unincorporated),840,"1,730","1,470","1,780","1,535","1,255","1,570",745,"1,090","3,235",810,"1,415",585,"1,305","1,180",650,365,345,865,810,"2,445","1,005","26,955","90,455"
        Without paid help,645,"1,310","1,055","1,365","1,235",780,"1,105",450,775,"2,535",610,"1,150",320,825,835,440,290,250,570,485,"1,920",680,"19,555","65,045"
        With paid help,205,415,420,420,305,480,470,290,310,700,200,265,265,480,350,215,75,95,295,325,525,325,"7,400","25,410"
      Unpaid family workers,40,65,30,10,15,50,40,55,60,15,30,20,45,30,30,30,0,0,15,40,35,15,640,"3,240"
  Males labour force 15 years and over  by class of worker,"3,350","10,700","5,775","9,140","9,035","8,610","12,075","3,585","6,485","13,775","6,035","8,230","2,525","11,865","6,125","2,280","1,910","2,725","8,590","6,440","15,635","3,605","158,150","563,755"
   Class of worker - Not applicable,55,545,90,135,450,250,360,55,190,105,185,230,60,275,145,35,30,260,250,170,260,65,"4,175","11,070"
    All classes of worker,"3,300","10,160","5,685","9,000","8,590","8,360","11,715","3,525","6,300","13,670","5,850","7,995","2,465","11,590","5,985","2,245","1,880","2,465","8,340","6,265","15,375","3,540","153,980","552,685"
      Paid workers,"2,780","9,080","4,865","7,990","7,705","7,525","10,740","3,070","5,670","11,905","5,350","7,055","2,055","10,715","5,375","1,835","1,650","2,175","7,800","5,730","13,760","3,015","137,585","496,890"
        Employees,"2,300","8,410","4,165","7,400","7,385","7,085","10,330","2,435","5,355","10,820","5,010","6,775","1,730","10,220","4,950","1,385","1,480","2,085","7,465","5,450","12,935","2,650","127,555","459,895"
        Self-employed (incorporated),485,665,700,595,325,445,415,630,320,"1,090",340,275,325,500,425,455,165,90,340,285,825,365,"10,035","36,995"
          Without paid help,150,305,195,255,185,240,195,220,165,455,145,150,140,185,250,90,60,50,105,115,515,140,"4,280","14,690"
          With paid help,335,360,505,340,140,205,220,415,150,635,195,125,185,310,180,360,110,45,235,170,315,230,"5,755","22,310"
      Self-employed (unincorporated),495,"1,050",810,"1,005",880,810,960,445,625,"1,755",495,930,395,865,595,415,230,285,540,525,"1,610",520,"16,185","54,730"
        Without paid help,335,845,520,710,675,505,695,235,430,"1,345",365,760,180,540,435,255,165,205,345,325,"1,210",270,"11,305","37,780"
        With paid help,155,210,285,290,200,310,265,215,195,415,130,170,215,325,160,160,60,85,195,200,400,255,"4,880","16,945"
      Unpaid family workers,20,25,15,0,10,20,15,15,0,10,0,15,10,10,15,0,0,0,0,0,15,0,210,"1,060"
  Females labour force 15 years and over  by class of worker,"3,120","6,985","5,350","10,495","8,275","8,075","11,000","3,570","6,410","14,355","5,720","7,375","2,305","10,750","6,100","2,225","1,995","1,630","7,720","6,175","12,890","3,530","145,785","509,260"
   Class of worker - Not applicable,65,220,110,80,260,255,285,85,210,155,200,150,80,270,90,35,20,125,300,210,275,95,"3,560","12,030"
    All classes of worker,"3,055","6,765","5,245","10,415","8,015","7,815","10,715","3,485","6,200","14,200","5,520","7,230","2,225","10,485","6,005","2,185","1,975","1,510","7,415","5,960","12,615","3,440","142,220","497,225"
      Paid workers,"2,690","6,050","4,560","9,630","7,345","7,345","10,075","3,150","5,685","12,705","5,185","6,730","2,010","10,020","5,405","1,915","1,840","1,455","7,080","5,640","11,755","2,945","131,005","459,320"
        Employees,"2,520","5,725","4,290","9,410","7,185","7,185","9,905","2,945","5,580","12,215","5,060","6,575","1,835","9,865","5,260","1,655","1,760","1,405","6,975","5,540","11,495","2,720","126,900","444,845"
        Self-employed (incorporated),165,320,270,220,155,160,170,200,110,495,125,155,175,155,145,265,75,45,100,100,260,230,"4,110","14,480"
          Without paid help,30,185,105,105,85,85,70,85,25,300,60,90,100,55,90,90,20,20,35,45,160,65,"1,925","5,980"
          With paid help,135,130,160,115,70,75,100,110,80,190,70,60,75,100,60,175,50,30,60,55,105,165,"2,185","8,495"
      Self-employed (unincorporated),350,675,665,780,660,445,610,300,465,"1,480",315,490,190,435,585,240,140,60,330,285,835,485,"10,775","35,730"
        Without paid help,305,470,530,655,560,275,405,215,345,"1,195",250,390,140,285,400,185,125,45,225,160,705,410,"8,255","27,270"
        With paid help,45,205,135,125,100,170,205,80,115,285,65,100,50,155,180,55,15,15,100,125,130,70,"2,525","8,460"
      Unpaid family workers,15,35,20,10,10,25,25,40,50,15,20,10,30,25,15,30,0,0,15,35,25,0,435,"2,180"
Total labour force 15 years and over by sex and occupation - 2001 National Occupational Classification for Statistics,"6,475","17,685","11,130","19,630","17,310","16,680","23,075","7,150","12,900","28,130","11,750","15,605","4,830","22,620","12,220","4,505","3,905","4,355","16,305","12,610","28,530","7,135","303,935","1,073,010"
    Male labour force 15 years and over - Occupation,"3,355","10,705","5,775","9,135","9,035","8,615","12,075","3,580","6,485","13,775","6,030","8,230","2,525","11,865","6,125","2,280","1,910","2,725","8,590","6,435","15,635","3,600","158,155","563,755"
      Occupation - Not applicable,55,545,90,135,445,250,365,55,190,105,180,235,60,275,140,30,25,260,250,175,260,65,"4,175","11,070"
      All occupations,"3,300","10,160","5,685","9,000","8,590","8,365","11,710","3,530","6,300","13,665","5,850","7,990","2,465","11,595","5,985","2,245","1,885","2,465","8,340","6,260","15,380","3,535","153,980","552,680"
        A Management occupations,845,"2,055","1,105","1,720",655,905,970,785,785,"2,430",835,715,530,945,755,580,300,135,700,760,"2,315",730,"21,495","82,510"
          A0 Senior management occupations,180,465,285,350,45,65,65,260,75,440,155,85,170,80,110,170,15,10,65,75,365,200,"3,710","12,720"
          A1 Specialist managers,195,595,265,510,205,190,200,155,205,675,200,120,110,230,200,140,135,10,105,165,600,170,"5,375","21,540"
"          A2 Managers in retail trade, food and accommodation services",195,480,165,475,225,395,420,160,270,575,245,240,125,440,215,130,40,80,320,250,715,140,"6,265","22,240"
"          A3 Other managers, n.e.c.",280,515,390,390,185,265,285,205,235,745,235,270,115,195,225,135,110,35,210,270,635,220,"6,140","26,010"
"        B Business, finance and administration occupations",450,"1,530",680,"1,280",890,935,"1,135",620,790,"1,515",580,820,400,"1,320",700,330,245,205,930,725,"2,275",360,"18,675","59,870"
          B0 Professional occupations in business and finance,190,645,330,570,190,185,190,285,230,545,140,165,140,285,210,180,90,35,205,260,520,165,"5,735","17,490"
          B1 Finance and insurance administration occupations,20,55,35,70,20,45,30,60,40,125,20,30,20,50,25,10,10,0,20,25,95,0,785,"3,305"
          B2 Secretaries,10,15,0,0,10,20,10,25,20,20,10,0,15,10,0,10,0,10,10,10,10,0,190,585
          B3 Administrative and regulatory occupations,75,225,130,250,110,100,120,85,115,250,85,115,90,100,85,70,40,15,75,55,485,65,"2,735","7,520"
          B4 Clerical supervisors,15,55,0,30,15,30,10,0,50,20,30,40,15,40,20,15,0,0,25,10,60,0,490,"1,925"
          B5 Clerical occupations,145,540,180,365,545,555,775,165,340,565,300,470,125,840,360,55,95,145,595,370,"1,110",110,"8,740","29,045"
        C Natural and applied sciences and related occupations,425,"1,605",855,"1,285",790,695,"1,140",365,815,"2,365","1,035",845,290,"1,230",820,225,345,175,580,545,"2,240",550,"19,175","60,400"
          C0 Professional occupations in natural and applied sciences,300,"1,115",585,920,445,365,620,270,510,"1,740",625,535,215,650,475,155,275,125,325,330,"1,585",375,"12,515","34,520"
          C1 Technical occupations related to natural and applied sciences,120,485,275,365,340,330,525,95,300,625,405,310,75,580,345,75,70,45,260,220,655,180,"6,660","25,880"
        D Health occupations,205,320,395,460,155,115,260,340,195,475,215,250,215,230,175,225,105,10,130,95,410,235,"5,210","13,410"
          D0 Professional occupations in health,195,220,340,330,45,55,105,300,120,320,110,110,175,65,80,195,60,0,60,35,140,205,"3,240","7,020"
          D1 Nurse supervisors and registered nurses,0,45,0,15,25,15,20,0,15,40,15,35,0,20,10,0,0,0,10,10,75,0,355,"1,035"
          D2 Technical and related occupations in health,10,40,55,80,65,25,60,10,40,85,65,70,40,90,70,25,45,0,45,20,120,15,"1,085","3,765"
          D3 Assisting occupations in support of health services,0,20,10,35,15,15,70,20,15,40,30,30,0,60,10,0,0,0,25,35,85,15,535,"1,585"
"        E Occupations in social science, education, government service and religion",395,680,795,900,770,330,540,355,380,"1,685",475,500,235,345,305,325,145,165,310,215,"1,455",660,"11,965","31,255"
"          E0 Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",185,330,405,420,255,105,195,165,145,675,135,215,120,105,150,245,70,55,100,65,625,275,"5,040","11,820"
          E1 Teachers and professors,180,265,355,370,280,135,230,160,145,905,290,185,70,140,90,70,55,55,155,95,635,375,"5,230","14,800"
"          E2 Paralegals, social services workers and occupations in education and religion, n.e.c.",35,80,40,110,235,90,110,35,90,110,45,100,50,105,65,10,15,55,65,60,190,15,"1,690","4,635"
"        F Occupations in art, culture, recreation and sport",150,725,315,780,935,425,450,185,205,"1,410",175,705,105,350,540,125,175,275,185,130,"1,380",250,"9,925","21,510"
          F0 Professional occupations in art and culture,90,340,150,400,385,200,185,90,65,650,90,245,50,140,320,75,80,145,70,65,580,115,"4,505","8,670"
"          F1 Technical occupations in art, culture, recreation and sport",60,380,160,375,555,230,270,95,130,750,85,455,55,210,210,55,90,135,110,65,810,140,"5,415","12,840"
        G Sales and service occupations,520,"2,070",875,"1,630","2,110","2,190","3,470",570,"1,590","2,470","1,320","2,150",445,"3,340","1,425",295,390,890,"2,585","1,630","3,720",490,"36,100","118,835"
          G0 Sales and service supervisors,10,75,25,30,60,40,110,15,20,30,50,55,10,100,10,0,15,25,65,40,115,0,905,"3,490"
"          G1 Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",100,240,255,395,70,230,225,135,265,505,250,160,115,170,120,55,55,15,180,175,420,70,"4,175","18,810"
          G2 Retail salespersons and sales clerks,95,315,135,305,230,265,370,115,265,425,255,300,105,300,240,30,45,35,305,270,500,105,"5,005","18,795"
          G3 Cashiers,30,35,30,15,65,85,160,0,70,50,40,30,15,120,55,0,10,10,135,85,50,10,"1,100","3,380"
          G4 Chefs and cooks,35,215,50,150,430,440,705,45,155,225,120,295,20,715,200,40,25,175,305,270,480,55,"5,155","11,350"
          G5 Occupations in food and beverage service,65,175,25,155,150,205,190,65,115,265,130,165,40,195,85,15,50,100,145,135,560,40,"3,065","6,265"
          G6 Occupations in protective services,50,180,30,105,115,70,205,10,80,130,45,145,30,210,110,10,40,65,245,50,225,90,"2,235","11,820"
"          G7 Occupations in travel and accommodation, including attendants in recreation and sport",10,190,60,135,95,75,130,35,100,240,120,130,35,140,90,10,55,90,75,105,590,0,"2,515","6,250"
          G8 Child care and home support workers,0,30,15,20,60,20,45,20,40,50,10,70,10,40,0,20,0,0,35,0,15,25,535,"1,705"
"          G9 Sales and service occupations, n.e.c.",135,620,255,315,835,760,"1,340",130,465,555,305,790,80,"1,345",510,100,95,370,"1,085",490,760,95,"11,410","36,965"
"        H Trades, transport and equipment operators and related occupations",250,900,510,680,"1,650","1,955","2,530",195,"1,100",965,"1,000","1,455",155,"2,575",875,95,135,440,"1,920","1,420","1,165",195,"22,130","121,700"
          H0 Contractors and supervisors in trades and transportation,20,45,50,55,65,40,35,10,50,55,25,50,10,100,45,0,0,10,50,35,20,15,775,"6,255"
          H1 Construction trades,55,170,120,175,380,405,530,60,160,250,85,385,30,525,180,10,35,150,370,305,300,45,"4,710","23,020"
"          H2 Stationary engineers, power station operators and electrical trades and telecommunications occupations",20,65,45,55,70,110,115,10,85,85,110,105,20,165,90,0,10,15,65,100,95,25,"1,475","8,465"
"          H3 Machinists, metal forming, shaping and erecting occupations",0,40,0,0,115,110,150,10,70,50,45,80,10,170,55,15,10,10,130,60,20,10,"1,165","8,795"
          H4 Mechanics,15,85,50,90,110,245,405,10,210,120,190,130,10,390,155,10,30,30,180,235,80,35,"2,805","17,920"
"          H5 Other trades, n.e.c.",10,55,45,45,105,135,170,20,40,50,40,80,10,185,85,10,0,20,55,100,90,15,"1,340","6,615"
"          H6 Heavy equipment and crane operators, including drillers",15,15,0,0,20,40,55,0,10,30,10,50,0,50,10,0,0,10,15,10,25,0,350,"3,155"
"          H7 Transportation equipment operators and related workers, excluding labourers",50,180,85,185,320,420,570,25,230,200,310,275,55,405,145,35,35,55,690,340,405,35,"5,045","27,070"
"          H8 Trades helpers, construction and transportation labourers and related occupations",70,240,100,60,470,455,510,60,240,120,180,300,30,590,120,30,20,145,360,240,130,10,"4,470","20,405"
        I Occupations unique to primary industry,20,105,95,70,85,180,235,25,100,160,15,155,20,205,85,20,15,40,255,190,130,25,"2,210","12,645"
"          I0 Occupations unique to agriculture, excluding labourers",10,30,0,15,15,50,65,10,50,50,10,45,10,50,15,20,10,10,100,50,10,10,600,"5,075"
"          I1 Occupations unique to forestry operations, mining, oil and gas extraction and fishing, excluding labourers",0,15,10,0,10,15,55,0,10,10,0,10,0,25,25,0,0,25,30,20,30,15,310,"1,565"
          I2 Primary production labourers,10,60,80,50,55,115,115,20,35,100,15,105,10,130,45,10,0,10,130,125,90,10,"1,305","6,010"
"        J Occupations unique to processing, manufacturing and utilities",40,175,55,195,565,615,985,85,355,185,200,405,70,"1,050",310,20,30,140,740,545,295,40,"7,095","30,540"
          J0 Supervisors in manufacturing,0,20,10,35,20,35,45,10,30,35,20,10,10,55,10,0,0,0,20,70,10,0,430,"2,670"
          J1 Machine operators in manufacturing,25,90,20,110,285,230,505,25,120,70,40,145,25,500,170,0,0,50,275,240,115,10,"3,040","12,070"
          J2 Assemblers in manufacturing,0,15,15,40,140,150,175,20,110,75,65,135,10,195,90,10,15,40,195,90,90,10,"1,680","6,940"
"          J3 Labourers in processing, manufacturing and utilities",10,50,15,20,115,200,265,35,100,15,80,110,30,300,40,10,10,45,255,145,75,20,"1,940","8,855"
    Female labour force 15 years and over - Occupation,"3,120","6,985","5,350","10,490","8,270","8,070","11,000","3,570","6,415","14,355","5,715","7,380","2,305","10,750","6,100","2,225","1,995","1,630","7,715","6,175","12,890","3,535","145,780","509,255"
      Occupation - Not applicable,65,220,110,75,260,255,285,85,210,155,195,150,80,270,90,35,20,125,300,210,275,90,"3,560","12,030"
      All occupations,"3,055","6,760","5,240","10,415","8,015","7,810","10,710","3,485","6,205","14,200","5,520","7,230","2,225","10,480","6,010","2,185","1,975","1,510","7,420","5,965","12,615","3,445","142,220","497,230"
        A Management occupations,375,"1,085",485,"1,350",560,475,620,400,430,"1,640",330,550,220,545,405,360,250,125,360,285,"1,390",420,"12,610","42,450"
          A0 Senior management occupations,15,120,85,135,85,20,20,55,30,220,45,20,30,40,40,50,30,10,20,10,110,60,"1,240","3,710"
          A1 Specialist managers,70,355,125,455,140,105,120,90,110,625,55,170,55,140,100,125,75,20,60,55,505,60,"3,600","11,260"
"          A2 Managers in retail trade, food and accommodation services",140,330,130,355,185,210,275,110,135,320,90,205,60,185,150,95,60,60,190,125,320,100,"3,825","14,860"
"          A3 Other managers, n.e.c.",150,285,150,405,145,145,205,145,155,480,135,160,70,175,120,85,90,25,90,90,450,190,"3,950","12,630"
"        B Business, finance and administration occupations",935,"2,000","1,335","3,010","1,625","1,870","2,410",905,"1,790","3,310","1,720","1,600",675,"2,800","1,350",600,515,175,"1,745","1,815","3,725",730,"36,565","148,020"
          B0 Professional occupations in business and finance,120,440,195,505,105,190,310,120,225,510,205,165,85,330,225,130,60,0,170,265,510,140,"4,990","15,730"
          B1 Finance and insurance administration occupations,60,110,110,145,55,115,110,45,90,160,90,65,75,200,120,25,0,0,95,75,145,55,"1,960","11,085"
          B2 Secretaries,180,200,215,365,135,235,265,180,285,475,305,115,120,340,185,145,70,15,225,285,600,105,"5,005","21,455"
          B3 Administrative and regulatory occupations,120,445,320,610,255,160,235,200,135,690,220,350,110,245,150,180,100,35,160,160,665,115,"5,640","18,945"
          B4 Clerical supervisors,20,25,0,45,30,25,30,20,70,55,0,25,0,55,10,0,10,10,15,35,50,10,535,"2,895"
